IdExpediente,Hora,Turno,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_X,CoordenadaUTM_Y,Longitud,Latitud
2019S009918,8,Matutino,No es causa del peatón,Furgoneta,SPRINTER AMBULANCIA,BERGADANA,Groc,B,3,430929.8,4584208.0,2.172440988261177,41.404624376128695
2019S009918,8,Matutino,No es causa del peatón,Motocicleta,HW 125,YAMAHA,Negre,B,10,430929.8,4584208.0,2.172440988261177,41.404624376128695
2019S009125,20,Tarde,No es causa del peatón,Motocicleta,XB9SX,BUELL,Negre,A,6,430923.02,4584231.84,2.1723571578350067,41.404838509366655
2019S009125,20,Tarde,No es causa del peatón,Turisme,FIESTA,FORD,Blanc,B,20,430923.02,4584231.84,2.1723571578350067,41.404838509366655
2019S008718,10,Matutino,Otras,Motocicleta,SH 125,HONDA,Desconocido,B,27,430906.85,4584215.64,2.1721655758984446,41.40469121128446
2019S000579,15,Tarde,No es causa del peatón,Motocicleta,50,HONDA,Negre,B,23,430923.21,4584231.56,2.17235946271675,41.40483600387701
2019S000579,15,Tarde,No es causa del peatón,Turisme,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,430923.21,4584231.56,2.17235946271675,41.40483600387701
2019S005130,16,Tarde,No es causa del peatón,Motocicleta,NS 125,HONDA,Gris,B,19,430996.4,4584288.18,2.17322853507244,41.405352250883844
2019S005130,16,Tarde,No es causa del peatón,Turisme,OPTIMA,KIA,Gris,B,3,430996.4,4584288.18,2.17322853507244,41.405352250883844
2019S008458,14,Tarde,No es causa del peatón,Motocicleta,SES 150,HONDA,Violeta,A1,4,430996.4,4584288.18,2.17322853507244,41.405352250883844
2019S008458,14,Tarde,No es causa del peatón,Turisme,206,PEUGEOT,Negre,B,9,430996.4,4584288.18,2.17322853507244,41.405352250883844
2019S002386,15,Tarde,No es causa del peatón,Furgoneta,KANGOO,RENAULT,Blanc,B,24,431017.33,4584325.25,2.173474681353716,41.405687923454366
2019S002386,15,Tarde,No es causa del peatón,Motocicleta,BEVERLY 12,PIAGGIO,Negre,A,28,431017.33,4584325.25,2.173474681353716,41.405687923454366
2019S001033,14,Tarde,No es causa del peatón,Motocicleta,LIBERTY 12,PIAGGIO,Blanc,B,6,430996.4,4584288.18,2.17322853507244,41.405352250883844
2019S001033,14,Tarde,No es causa del peatón,Turisme,HR-V 5P,HONDA,Vermell,B,6,430996.4,4584288.18,2.17322853507244,41.405352250883844
2019S003460,9,Matutino,No es causa del peatón,Motocicleta,CBF 250,HONDA,Gris,A2,31,431070.9,4584342.4,2.1741135661229154,41.40584698812609
2019S003460,9,Matutino,No es causa del peatón,Tractocamión,,DAF-HERMANNS,Blanc,E C,14,431070.9,4584342.4,2.1741135661229154,41.40584698812609
2019S008505,8,Matutino,No es causa del peatón,"Camión <= 3,5 tones",Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,431089.06,4584377.39,2.1743268191149907,41.406163687360284
2019S008505,8,Matutino,No es causa del peatón,Ciclomotor,NOVA 3000,EMCO,Desconocido,B,3,431089.06,4584377.39,2.1743268191149907,41.406163687360284
