IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_Y,CoordenadaUTM_X
2012S008268,10,No es causa del peatón,AutobŁs,Desconocido,MERCEDES,Vermell,D,14,4581353.55,429182.15
2012S008402,10,No es causa del peatón,Turismo,LAGUNA,RENAULT,Negre,B,19,4581362.5,429547.78
2012S008403,12,No es causa del peatón,Turismo,CLIO,RENAULT,Negre,B,7,4586351.14,433090.18
2012S008532,16,No es causa del peatón,Motocicleta,SH 125,HONDA,Gris,A1,2,4583522,426362.29
2012S009225,13,No es causa del peatón,Motocicleta,YP 125,YAMAHA,Negre,A2,2,4586961.04,431368.02
2012S008658,20,No es causa del peatón,Turismo,TOURAN,VOLKSWAGEN,Verd,B,3,4580307.33,428328.52
2012S008663,13,No es causa del peatón,Turismo,XSARA PICASSO,CITROEN,Gris,B,30,4587405.68,431135.26
2012S008667,15,No es causa del peatón,Motocicleta,BURGMAN,SUZUKI,Gris,A,21,4583950.78,430402.41
2012S008806,13,No es causa del peatón,Motocicleta,SCV100,HONDA,Gris,B,5,4582786.83,430252.07
2012S008920,9,No es causa del peatón,Turismo,MERIVA,OPEL,Vermell,B,45,4584880.78,427052.99
2012S008921,10,No es causa del peatón,Ciclomotor,LIBERTY 50,PIAGGIO,Blau,A1,17,4583986.71,427904.47
2012S008922,11,No es causa del peatón,Todo terreno,TERRANO,NISSAN,Blanc,B,34,4581257.05,429224.59
2012S008522,11,No es causa del peatón,Motocicleta,R 1200 C,BMW,Blanc,A,24,4581849.96,429033.26
2012S008643,19,No es causa del peatón,Turismo,CORSA,OPEL,Vermell,Desconocido,30,4583193.64,430666.86
2012S008644,21,No es causa del peatón,Motocicleta,XV 250 SP VIRAGO,YAMAHA,Vermell,A2,2,4582964.49,429852.61
2012S008786,22,No es causa del peatón,Ciclomotor,LIBERTY 125,PIAGGIO,Negre,Llicncia,7,4583746.91,431234.33
2012S008787,22,Desobedecer Semáforo,AutobŁs,Desconocido,MAN,Vermell,Desconocido,Desconocido,4581230.44,429675.61
2012S008923,11,No es causa del peatón,Motocicleta,SH 150,HONDA,Gris,A,30,4582167.67,430256.31
2012S009049,14,No es causa del peatón,Turismo,SCENIC,RENAULT,Gris,Desconocido,Desconocido,4584587.06,430339.76
2012S009053,15,No es causa del peatón,Furgoneta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4581345.83,429315.07
2012S009055,17,Desobedecer Semáforo,AutobŁs,CITYCLASS,IRISBUS,Vermell,D,22,4583845.99,426831.34
2012S009185,19,No es causa del peatón,Furgoneta,JUMPY,CITROEN,Blanc,B,22,4585050.28,429776.63
2012S009191,23,No es causa del peatón,Turismo,CARISMA,MITSUBISHI,Vermell,B,25,4581337.46,429167.1
2012S009070,7,No es causa del peatón,Turismo,GOLF,VOLKSWAGEN,Negre,B,6,4588061.73,430606.96
2012S009071,11,No es causa del peatón,Motocicleta,NH 90,HONDA,Gris,A,26,4583902.92,431772.32
2012S009205,13,No es causa del peatón,Turismo,MEGANE,RENAULT,Blau,B,1,4581498.83,431680.73
2012S008160,8,No es causa del peatón,Turismo,SCENIC,RENAULT,Negre,B,47,4584056.28,432003.1
2012S008176,18,No es causa del peatón,Todo terreno,KOLEOS,RENAULT,Gris,B,34,4587066.67,429636.07
2012S009209,15,No es causa del peatón,Ciclomotor,JOG,YAMAHA,Blanc,AM,5,4586862,431627.13
2012S008165,13,No es causa del peatón,Turismo,C 220,CHRYSLER,Gris,B,10,4584843.36,427057.24
