IdExpediente,Hora,Turno,Causa_de_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2013S003935,11,Matutino,No hay causa mediata,4582989.29,430093.32
2013S001985,20,Tarde,No hay causa mediata,4583030.02,430055.88
2013S005008,9,Matutino,No hay causa mediata,4583030.02,430055.88
2013S005642,22,Noche,No hay causa mediata,4582692.06,430363.96
2013S000596,20,Tarde,No hay causa mediata,4582734.61,430325.6
2013S006413,22,Noche,No hay causa mediata,4583119.21,430229.19
2013S004102,17,Tarde,No hay causa mediata,4582745.98,430155.81
2013S007177,0,Noche,No hay causa mediata,4582723.7,430122.36
2013S000174,8,Matutino,No hay causa mediata,4583259.63,431270.05
2013S002299,21,Tarde,No hay causa mediata,4583156.05,430628.32
2013S004982,11,Matutino,No hay causa mediata,4583204.02,431141.7
2013S002373,19,Tarde,No hay causa mediata,4583204.74,430678.26
2013S000780,4,Noche,Exceso de velocidad o inadecuada,4583577.24,431058.4
2013S008320,21,Tarde,No hay causa mediata,4582984.43,430605.39
2013S004353,21,Tarde,No hay causa mediata,4583168.25,430793.42
2013S007762,9,Matutino,No hay causa mediata,4582970.71,430623.25
2013S005479,2,Noche,No hay causa mediata,4582836,430485.1
2013S005268,10,Matutino,No hay causa mediata,4582607.71,430837.59
2013S008051,18,Tarde,No hay causa mediata,4582893.09,430512.1
2013S005532,15,Tarde,No hay causa mediata,4582846.29,430847.56
2013S003390,19,Tarde,No hay causa mediata,4582846.29,430847.56
2013S004822,13,Matutino,No hay causa mediata,4582713.14,431177.93
2013S001099,21,Tarde,No hay causa mediata,4582328.28,430568.26
2013S005099,18,Tarde,No hay causa mediata,4582876.92,430465.81
2013S007301,15,Tarde,No hay causa mediata,4582375.36,430653.9
2013S007984,7,Matutino,No hay causa mediata,4582406.03,430711.98
2013S001303,12,Matutino,No hay causa mediata,4582212.5,430274.27
2013S004618,17,Tarde,No hay causa mediata,4582760.74,430794.78
2013S005783,12,Matutino,No hay causa mediata,4582760.74,430794.78
2013S006665,16,Tarde,No hay causa mediata,4582547.04,430616.9
2013S008431,23,Noche,Alcoholemia,4582547.04,430616.9
2013S003430,17,Tarde,No hay causa mediata,4582637.68,430500.39
2013S008649,19,Tarde,No hay causa mediata,4582627.32,431049.36
2013S003734,14,Tarde,No hay causa mediata,4582424.87,430448.19
2013S000001,0,Noche,No hay causa mediata,4582516.07,430558.51
2013S001546,21,Tarde,No hay causa mediata,4582516.07,430558.51
2013S000916,12,Matutino,No hay causa mediata,4582619.92,430904.35
2013S005187,22,Noche,No hay causa mediata,4582713.89,430812.03
2013S001103,9,Matutino,No hay causa mediata,4582425.04,430908.25
2013S002758,18,Tarde,No hay causa mediata,4582492.24,430534.35
2013S005552,12,Matutino,No hay causa mediata,4582777.77,430749.76
2013S004670,18,Tarde,No hay causa mediata,4582761.25,430835.03
2013S003241,16,Tarde,No hay causa mediata,4582396.64,430741.88
2013S004649,18,Tarde,No hay causa mediata,4582377.43,430775.55
2013S006140,22,Noche,No hay causa mediata,4582676.88,430139.72
2013S009377,19,Tarde,No hay causa mediata,4582763.98,430228.75
2013S008601,17,Tarde,No hay causa mediata,4582456.92,430675.81
2013S001626,18,Tarde,No hay causa mediata,4583417.13,431044.96
2013S000793,11,Matutino,No hay causa mediata,4583385.99,430864.8
2013S008225,14,Tarde,No hay causa mediata,4583229.62,430903.53
2013S003335,13,Matutino,No hay causa mediata,4583254.11,431104.22
2013S004876,22,Noche,No hay causa mediata,4583293.79,431145.23
2013S008284,5,Noche,No hay causa mediata,4583169.11,430986.08
2013S009083,13,Matutino,No hay causa mediata,4583318.02,430937.87
2013S005758,14,Tarde,No hay causa mediata,4583079.49,431255.07
2013S001738,18,Tarde,No hay causa mediata,4583461.9,431551.41
2013S003173,15,Tarde,No hay causa mediata,4583547.34,431638.38
2013S000582,16,Tarde,No hay causa mediata,4583547.34,431638.38
2013S001528,11,Matutino,No hay causa mediata,4583547.34,431638.38
2013S000554,20,Tarde,No hay causa mediata,4583492.04,431712.63
2013S006019,22,Noche,No hay causa mediata,4583658.25,431752.28
2013S001894,11,Matutino,No hay causa mediata,4583856.62,431576.58
2013S001976,15,Tarde,No hay causa mediata,4583856.62,431576.58
2013S004816,9,Matutino,No hay causa mediata,4583853.65,431567.24
2013S003497,11,Matutino,No hay causa mediata,4583220.08,432030.85
2013S006146,14,Tarde,No hay causa mediata,4583588.18,431603.29
2013S004619,16,Tarde,No hay causa mediata,4583588.18,431603.29
2013S005808,16,Tarde,No hay causa mediata,4583588.18,431603.29
2013S001750,8,Matutino,No hay causa mediata,4583665.77,431686.01
2013S004923,13,Matutino,No hay causa mediata,4583799.89,431413.87
2013S007053,9,Matutino,No hay causa mediata,4583799.89,431413.87
